bar,item,price
"LongHorn Steakhouse","Missile IPA",12.24
"Ground Round","Dolcini",2.95
"Worldwide Wine Services","Fresh Brewed Iced Tea",2.95
"Sugarbush Tavern","Fresh Brewed Iced Tea",2.95
"Apple Inn","Meat Sauce with Choice of Pasta",5.95
"California Pizza Kitchen","Crabcakes",13.95
"Perkins Restaurant and Bakery","Lemon-Herb Roasted Chicken",18.5
"Charles A. Meyer","Devils Tramping Ground Tripel",8.36
"Baja Fresh","Dolcini (mini dessert)",2.95
"Pei Wei Asian Diner","Athena",1.28
"Old Capitol Brew Works","Macaroni and Cheese",5.95
"Gay Nineties Theatre Cafe","Saison Pamplemousse",3.79
"Gold Hawk","Norm's Gateway IPA",10.42
"Swamp Sports Bar & Restaurant","Dry Hard Apple Cider",9.69
"Caledonia Lounge","Cheese Ravioli",11.95
"C C Slaughters Restaurant","Guacamole Made-to-Order",11.95
"Caledonia Lounge","Lasagna Dip",7.95
"Basement","Alfredo Sauce with Choice of Pasta",5.95
"Smokey Bones","Thai Lettuce Wraps",13.95
"Texas Roadhouse","Shrimp Carbonara",11.95
"Ad Card Promotions","Goose Island India Pale Ale",1.9
"Opus Mainstreet","Mastermind",5.15
"Scores","Polar Pale Ale",8.01
"Cork Town Tavern","Chicken Pot Stickers",10.95
"Hurricane Alley","1492",1.77
"Union Street Station","Dirty Bastard",3.25
"Scores","Best Brown",1.28
"Wolfs Tavern","Atwater's Lager",1.89
"Smokey Bones","Fettuccine Alfredo",11.95
"Cork Town Tavern","Barney Flats Oatmeal Stout",5.65
"Village Inn","Chin Music Amber Lager",4.96
"J R's Last Laugh Comedy Club","Tiramisu",6.95
"Ten","Americana Cheeseburger",13.95
"Hilltop Tavern","Roasted Pear and Blue Cheese Flatbread",6.95
"Planet Hollywood","Hot Coffee",2.95
"Sugarbush Tavern","Fairweather IPA",7.99
"Robert","Dream Crusher Double IPA",2.13
"Smitty's Sports Pub","Crispy Crab Bites",7.95
"Smitty's Sports Pub","Spicy Crispy Chicken Sandwich",13.5
"Hurricane Alley","Fried Mozzarella",5.95
"Denny's","White Rascal",8.42
"Lanigan's Irish Pub & Eatery","Tropical Heatwave",10.58
"Park Tavern Lounge & Lanes","Stuffed Chicken Marsala",11.95
"Big Shots Sports Bar & Grill","Great River Golden Ale",2.17
"Rocket","Hyzer Flip",8.81
"Old Country Buffet","Great River Golden Ale",2.17
"Señor Frog's","Country Boy IPA",10.7
"Famous Dave's","Jamaican Black Pepper Chicken",17.95
"Don & Herb's Inc","Hot Spinach and Cheese Dip",11.95
"Dave & Buster's","Chicken Scampi",11.95
"Chris Cocallas","Spicy Cashew Chicken",16.95
"Romano's Macaroni Grill","Commotion APA",12.94
"Kroc's","Chicken Pot Stickers",10.95
"Baja Fresh","Tropical Saison",7.79
"Joe's Crab Shack","Underdog Atlantic Lager",5.15
"Steak 'n Shake","Alaskan Amber",11.7
"Rascal's","Jamaican Black Pepper Chicken",17.95
"The Cheesecake Factory","Dos Pistolas",8.58
"Downtown Lounge","Parmesan Zucchini Bites",6.95
"Lone Star Athletic Football Club","What the Butler Saw",2.75
"Vault Night Club","Teriyaki Chicken",16.95
"Heart Attack Grill","Spicy Crispy Chicken Sandwich",13.5
"For Pete's Sake","Desolation IPA",9.84
"Improper Bostonian","Italian Ice Milkshake",4.95
"IHOP","Orange Chicken",16.95
"Apple Inn","BrewFarm Select Golden Lager",5.13
"Qdoba Mexican Grill","Capital Gold Golden Lager",7.43
"Kells Restaurant","Vertex IPA",4.23
"Club 101","Pumpkin Beast",3.05
"Worldwide Wine Services","Star Runner",6.56
"Tradesman Tavern Inc","Fried Calamari",12.95
"Jake's Old City Grill","The 26th",3.9
"Kroc's","Saison Pamplemousse",3.79
"Paradise City","Endive Salad",6.95
"Karma Lounge Ltd","Loaded Pasta Chips",6.95
"Union Street Station","Dolcini",2.95
"Club 101","Greek Salad",6.95
"Maria C. Estabil","Orabelle",2.83
"Qdoba Mexican Grill","Tropical Saison",7.79
"Scores","Veggie Burger",12.95
"Wolfs Tavern","Macaroni and Cheese",5.95
"Kesler Sports Bar & Grill","Floyd's Folly",6.76
"Crazy Donkey Bar Grill","Dundee Summer Wheat Beer",10.35
"The Original Pancake House","Herb-Grilled Salmon",11.95
"Ground Round","Salamander Slam",4.7
"Boston Pizza","Strawberry-Banana Smoothie",4.95
"Worldwide Wine Services","6 oz Sirloin with Fettuccine Alfredo",11.95
"Atomic Cantina","Native Amber",8.75
"Hurricane Alley","Disconnected Red",8.28
"Sizzler","ToGo Our Famous House Salad",6.95
"Double Down Saloon","Hinchtown Hammer Down",6.52
"Dave & Buster's","Beets With Goat Cheese",6.95
"Cork Town Tavern","Fresh Brewed Iced Tea",2.95
"Red Barn","Margherita Pizza",12.95
"Hoss's Steak and Sea House","Best Brown",1.28
"YUMIS SUSHI BAR","Ghost Ship White IPA",4.67
"Ivar's Sports Bar & Grill","Verdun",4.94
"C C Slaughters Restaurant","Amber Road",12.56
"Tryst Lounge","Desolation IPA",9.84
"Barrister S Euro Tavern;","Create Your Own Pasta - Cucina Mia!",9.95
"Improper Bostonian","Steak Diane",19.95
"Hoss's Steak and Sea House","Sir William's English Brown Ale",4.75
"Robert","Chickawawa Lemonale",10.2
"Apple Inn","Cold Snap",5.07
"Dejavu Nightclub","Crispy Shrimp Sandwich",14.5
"Casino El Camino Bar & Grill","Belfort",7.44
"Grey Lounge","Crispy Fried Cheese",5.95
"Bottling CO","Nuclear Winter",10.7
"Hoss's Steak and Sea House","Vanilla Java Porter",9.81
"Big Shots Sports Bar & Grill","Fish & Chips",17.5
"Basement","Pamola Xtra Pale Ale",12.2
"Qdoba Mexican Grill","Bacon-Bacon Cheeseburger",13.95
"Hilltop Tavern","Kids Rotini with Meat Sauce",5.95
"Carrabba's Italian Grill","Gossamer Golden Ale",12.9
"Apple Inn","Dos Pistolas",8.58
"The Cheesecake Factory","Cannoli Trio",5.95
"Jungle Restaurant-Fat Cat's","Strawberry-Banana Smoothie",4.95
"Ad Card Promotions","Salamander Slam",4.7
"Wellhead Restaurant-Brew Pub","Monon Wheat",8.88
"Club Paragon","Chicken Marsala and Mushrooms",18.5
"Jake's Grill","Lasagna Classico",11.95
"Dolphin Inn","Veggie Melt",12.95
"Carrabba's Italian Grill","Hot Spinach and Cheese Dip",11.95
"Perkins Restaurant and Bakery","Chicken with Lemon Couscous",15.95
"Dixie Taverne","Seiche Scottish Ale",6.33
"Club Paragon","Roadside Sliders",9.95
"Red Lobster","Fish Tacos",14.95
"Dixie Taverne","The 26th",3.9
"Toc Bar","Bacon-Bacon Cheeseburger",13.95
"Famous Dave's","Strawberry-Banana Smoothie",4.95
"On the Border Mexican Grill & Cantina","Suncaster Summer Wheat",4.1
"Old Country Buffet","Hot Coffee",2.95
"Crowe Bar","Renee's Special",12.5
"IHOP","Bitter Bitch",8.16
"Cheese Burger in Paradise","Gossamer Golden Ale",12.9
"Eight Seconds","California Cheesesteak",13.95
"Monopole Restaurant","Roadside Sliders",9.95
"Jake's Old City Grill","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Bottling CO","Last Stop IPA",7.29
"Jack's Place","6 oz Sirloin with Fettuccine Alfredo",11.95
"Crystal Corner Bar","Fresh Brewed Iced Tea",2.95
"Sutliff Bar & Grill","Spicy Crispy Chicken Sandwich",13.5
"Maria C. Estabil","Tropical Heatwave",10.58
"Basement","Parmesan Zucchini Bites",6.95
"Twin Peeks","Guacamole Made-to-Order",11.95
"Moms Toy Box","Fisherman's Brew",12.57
"Hurricane Alley","Blackbeard",5.86
"Jake's Grill","Iron Horse Pale Ale",12.65
"Kesler Sports Bar & Grill","Quesadilla",9.95
"Firefly Club","Belfort",7.44
"Sheffield Wine & Spirits Center","Frosted Fields Winter Wheat",10.52
"Charles A. Meyer","Baja Chicken Tacos",13.95
"Park Tavern Lounge & Lanes","Italian Ice Milkshake",4.95
"Shank's Tavern","Jamaican Black Pepper Shrimp",19.95
"Houlihan's","Caffè Mocha",4.95
"Famous Dave's","Stone's Throw IPA",4.1
"Don & Herb's Inc","Amber Road",12.56
"Sheffield Wine & Spirits Center","Kobe Burger",14.95
"Pivots Beach Club","Pepperoni Pizza",13.95
"Worldwide Wine Services","Sir William's English Brown Ale",4.75
"Bubba Gump Shrimp Company","Veggie Melt",12.95
"Lone Star Steakhouse & Saloon","Best Brown",1.28
"Pub 13","Classic Shrimp Scampi Fritta",9.95
"Jungle Restaurant-Fat Cat's","Athena",1.28
"Apple Inn","Raspberry Lemonade",2.95
"Señor Frog's","Cape Cod Red",11.85
"Crowe Bar","ToGo Homemade Soups",5.95
"Friendly's","Vietnamese Shrimp Summer Rolls",11.95
"N V Penthouse Lounge","Fried Zucchini",5.95
"Heart Attack Grill","Buffalo Wings",12.5
"Cracker Barrel Old Country Store","Bitter Bitch",8.16
"Jekyll & Hydes","Devils Tramping Ground Tripel",8.36
"Waffle House","Chicken Alfredo",11.95
"Chiquito","Bellini Peach-Raspberry Iced Tea",2.95
"Daddy-O's","Commotion APA",12.94
"Stonebridge Village Poa","Stickin' In My Rye",1.77
"YUMIS SUSHI BAR","Hop A Potamus Double Dark Rye Pale Ale",5.99
"Daddy-O's","Chicken Carbonara",11.95
"Xtc Cabaret","Stuffed Chicken Tortillas",14.95
"Perkins Restaurant and Bakery","Salmon Piccata",11.95
"Quaker Steak & Lube","Vanilla Java Porter",9.81
"Hilltop Tavern","Devils Tramping Ground Tripel",8.36
"Daddy's","ToGo Homemade Soups",5.95
"N V Penthouse Lounge","Tiramisu",6.95
"Star Tavern & Pizzeria","Loki Red Ale",12.56
"Olive Garden","Dip Duo",1.95
"40 Watt Club","Guacamole Made-to-Order",11.95
"Opus Mainstreet","Cuban Sandwich",13.95
"Bennigan's","River Runners Pale Ale",1.06
"Daddy's","Devils Tramping Ground Tripel",8.36
"P. F. Chang's China Bistro","Underdog Atlantic Lager",5.15
"Ten","Yeti  Imperial Stout",5.1
"Sinners Gentlemen's Club","Back in Black",4.92
"Pizza Shoppe","Agent a Deux",6.59
"Moms Toy Box","Tropical Saison",7.79
"D & J Web Solutions","Bang-Bang Chicken and Shrimp",19.5
"Kainoa's Sports Bar & Restrnt","1492",1.77
"Grey Lounge","Smokehouse BBQ Burger",13.95
"Tony Roma's","Kobe Burger",14.95
"Brandy's","Vietnamese Shrimp Summer Rolls",11.95
"Tweed's Pub Restaurant","Famous Factory Meatloaf",17.5
"Bluepoint Sage Cafe","Atwater's Lager",1.89
"Town & Country","3 Picket Porter",3.9
"Henrietta Hudson","The 26th",3.9
"Old Capitol Brew Works","Pinata Protest",4.17
"Steak 'n Shake","Lucky Dog",6.15
"Niko's Lodge Bar & Grill","Back in Black",4.92
"Station","Dream Crusher Double IPA",2.13
"Tryst Lounge","Fried Mozzarella",5.95
"Old Capitol Brew Works","Cheese Pizza",11.95
"Crazy Donkey Bar Grill","Deflator",5.08
"Vault Night Club","Best Brown",1.28
"Hickory Tavern","Barney Flats Oatmeal Stout",1.42
"Scores","Spinach-Artichoke Dip",8.95
"Rumors Lounge & Restaurant","Teriyaki Chicken",16.95
"Twin Peeks","Peach-Mango Smoothie",4.95
"Phebe's","Unlimited Our Famous House Salad",6.95
"Big Boy","Good People American Brown Ale",12.21
"Met Lounge","Agent a Deux",6.59
"Star Tavern & Pizzeria","Nuclear Winter",10.7
"Bluepoint Sage Cafe","Stuffed Chicken Tortillas",14.95
"Rainforest Cafe","1327 Pod's ESB",12.43
"Bahama Breeze","Eggplant Parmigiana",11.95
"Lone Star Steakhouse & Saloon","Fresh Brewed Iced Tea",2.95
"Opus Mainstreet","Might As Well IPL",3.66
"Johnny Rockets","Mushroom Burger",13.95
"The Cheesecake Factory","Fettuccine Alfredo",11.95
"Iron Post","Capital Gold Golden Lager",7.43
"E Robert Brame","Aviator Raspberry Blonde",10.58
"Tony Roma's","What the Butler Saw",2.75
"The Original Pancake House","River Runners Pale Ale",1.06
"Dave & Buster's","Vertex IPA",4.23
"Planet Hollywood","Athena",1.28
"Rainforest Cafe","Seasonal Sicilian Cheesecake",6.95
"Opus Mainstreet","Raspberry Lemonade",2.95
"N V Penthouse Lounge","Vietnamese Shrimp Summer Rolls",11.95
"The Old Spaghetti Factory","Rye Wit",7.43
"Grey Lounge","Fried Macaroni and Cheese",11.5
"Swamp Sports Bar & Restaurant","Spicy Calabrian Chicken",8.95
"New York Dolls","Strawberry-Passion Fruit Limonata",3.95
"Hard Rock Cafe","Teriyaki Chicken",16.95
"Qdoba Mexican Grill","Peach-Mango Smoothie",4.95
"Comedy Cellar","Boy King",7.9
"Caledonia Lounge","Sausage and Ricotta Flatbread",6.95
"Ten","Tex Mex Eggrolls",10.95
"Park Tavern Lounge & Lanes","California Cheesesteak",13.95
"Barrister S Euro Tavern;","Old Soul",6.52
"Topper","Thai Glazed Salmon",19.95
"Downtown Lounge","Escape to Colorado",12.7
"Border Lounge","Golden Road Hefeweizen",6.64
"J D Bar Corp","Interurban IPA",3.67
"BJ's Restaurant & Brewery","Calamari",9.95
"Mugshots Bar","Missile IPA",12.24
"Atomic Cantina","Grand Canyon American Pilsner",10.85
"Toc Bar","Seiche Scottish Ale",6.33
"Scores","Caramel Hazelnut Macchiato",4.95
"Dixie Taverne","Cheese Pizza",11.95
"Crowe Bar","Seafood Alfredo",11.95
"Black Angus Steakhouse","Verdun",4.94
"Saturn","Greenbelt Farmhouse Ale",8.17
"Met Lounge","Chicken with Lemon Couscous",15.95
"Toc Bar","Poop Deck Porter",6.99
"Carrabba's Italian Grill","Shepherd's Pie",15.95
"Big Shots Sports Bar & Grill","Boy King",7.9
"Joe's Crab Shack","Commotion APA",12.94
"Charles A. Meyer","El Steinber Dark Lager",2.6
"Boynton Restaurant & Spirits","Endive Salad",6.95
"Heart Attack Grill","Pilot Rock Porter",11.26
"Carrabba's Italian Grill","Incredible Pedal IPA",4.65
"Stingers Sports Pub & Grill","Independence Pass Ale",3.36
"Mugshots Bar","Hot Coffee",2.95
"Paradise City","Fried Macaroni and Cheese",11.5
"Modoggies Bar & Grill","Chicken with Lemon Couscous",15.95
"Smitty's Sports Pub","Hopalicious",10.57
"J R's Bar & Grill Inc","San Pellegrino Sparkling",2.95
"Texas Roadhouse","Hibernation Ale",3.91
"Monopole Restaurant","BBQ Chicken Pizza",13.95
"Qdoba Mexican Grill","Quesadilla with Chicken",11.95
"Stonebridge Village Poa","Over Ale",8.25
"Double Down Saloon","Fish & Chips",17.5
"For Pete's Sake","Endive Salad",6.95
"New York Dolls","Tropical Heatwave",10.58
"Cork Town Tavern","Mo's Gose",2.21
"Islands Fine Burgers & Drinks","Great Crescent Dark Lager",5.35
"N V Penthouse Lounge","Strawberry-Passion Fruit Limonata",3.95
"Old Country Buffet","Supper Club Lager",4.97
"IHOP","Agent a Deux",6.59
"Hoss's Steak and Sea House","Citrafest",11.56
"Village Inn","312 Urban Pale Ale",8.89
"Hoss's Steak and Sea House","Grand Canyon American Pilsner",10.85
"Houlihan's","Calamari",9.95
"Opus Mainstreet","Poop Deck Porter",6.99
"Señor Frog's","Little Red Cap",1.81
"Applebee's","Passenger",8.22
"Boynton Restaurant & Spirits","Hibernation Ale",3.91
"Carrabba's Italian Grill","Kids Grilled Chicken with Gluten-free Rotini",6.95
"Boston Pizza","Humidor Series India Pale Ale",5.96
"Jake's Old City Grill","Escape to Colorado",12.7
"Old Country Buffet","Vertex IPA",4.23
"Bertucci's","Five Cheese Ziti al Forno",11.95
"Spot On The Alley","Humidor Series India Pale Ale",5.96
"Old Capitol Brew Works","Orange Chicken",16.95
"Wolfs Tavern","Pit Beef Dip",14.5
"Club Soda","Tart Side of the Barrel",6.26
"Benihana","Saison Pamplemousse",3.79
"MJ's","Chicken with Lemon Couscous",15.95
"Hurricane Alley","Crispy Crab Bites",7.95
"Black-eyed Pea","Oberon",1.37
"Border Lounge","Black Rabbit",2.54
"Chipotle Mexican Grill","Bent Paddle Black Ale",2.43
"Modoggies Bar & Grill","A Beer",11.02
"Smitty's Sports Pub","Monkey Chased the Weasel",7.91
"Star Tavern & Pizzeria","Blackbeard",5.86
"J R's Bar & Grill Inc","Tropical Heatwave",10.58
"Ruby Tuesday","Fisherman's Brew",12.57
"Karma Lounge Ltd","1327 Pod's ESB",2.16
"Famous Dave's","Sir William's English Brown Ale",4.75
"Xtc Cabaret","Bring Back the Beach Blonde Ale",1.01
"Dixie Taverne","Incredible Pedal IPA",4.65
"The Osthelder Saloon","Stuffed Chicken Tortillas",14.95
"Boston Pizza","Lucky Dog",6.15
"Ruby Tuesday","Sophomoric Saison",2.93
"Joe's Crab Shack","The Everything Pizza",14.5
"Brandy's","Saison Pamplemousse",3.79
"D & J Web Solutions","Chicken Marsala and Mushrooms",18.5
"Kainoa's Sports Bar & Restrnt","Passenger",8.22
"Cheddar's Casual Café","Chicken Margherita",11.95
"Sheffield Wine & Spirits Center","Bent Paddle Black Ale",2.43
"Monopole Restaurant","Descender IPA",8.52
"Golden Corral","Stuffed Chicken Tortillas",14.95
"Shanahan's Lafayette","Quick WIT",3.19
"Maria C. Estabil","312 Urban Pale Ale",8.89
"Topper","Crabtree Oatmeal Stout",6.3
"Lone Star Steakhouse & Saloon","Independence Pass Ale",3.36
"40 Watt Club","Grand Canyon American Pilsner",10.85
"Cheese Burger in Paradise","Moirai India Pale Ale",3.71
"Denny's","Mushroom Burger",13.95
"Mugshots Bar","Descender IPA",8.52
"Qdoba Mexican Grill","Old Soul",6.52
"Smitty's Sports Pub","Couch Select Lager",7.44
"Lone Star Athletic Football Club","Suncaster Summer Wheat",4.1
"Stanhope House","Loaded Pasta Chips",6.95
"Crowe Bar","Easy Livin' Summer Ale",8.55
"Señor Frog's","El Steinber Dark Lager",2.6
"Grey Lounge","Easy Jack",6.97
"Red Lobster","Peanut Butter Jelly Time",6.62
"Bottle & Cork","Chicken Carbonara",11.95
"Opus Mainstreet","6 oz Sirloin with Fettuccine Alfredo",11.95
"Karma Lounge Ltd","Agent a Deux",6.59
"Smitty's Sports Pub","Roasted Pear and Blue Cheese Flatbread",6.95
"Star Tavern & Pizzeria","Quesadilla",9.95
"Johnny Mac's Scoreboard","Hurricane Amber Ale",6.17
"Sinners Gentlemen's Club","Shepherd's Pie",15.95
"Atkins Park Tavern","Moirai India Pale Ale",3.71
"Saturn","Country Boy IPA",10.7
"Atkins Park Tavern","Tropical Saison",7.79
"Bahama Breeze","Star Runner",6.56
"Ad Card Promotions","Buffalo Wings",12.5
"For Pete's Sake","Chargrilled Coulotte Steak",19.95
"Red Robin","ToGo Fountain Drinks",2.95
"Crowe Bar","Tart Side of the Barrel",6.26
"Romano's Macaroni Grill","Thai Glazed Salmon",19.95
"Arena","Alfredo Sauce with Choice of Pasta",5.95
"Swamp Sports Bar & Restaurant","Capital Gold Golden Lager",7.43
"Sinners Gentlemen's Club","Dream Crusher Double IPA",2.13
"Big Shots Sports Bar & Grill","The 26th",3.9
"Benihana","Stickin' In My Rye",1.77
"Crowe Bar","Grazias",9.62
"Downtown Lounge","Dolcini (mini dessert)",2.95
"Café Rouge","California Cheesesteak",13.95
"Hilltop Tavern","Hardywood Cream Ale",3.32
"Ten","Veggie Burger",12.95
"Ivar's Sports Bar & Grill","Awry Rye Pale Ale",12.88
"Benihana","Eggplant Parmigiana",11.95
"T.G.I. Friday's","Lava Lake Wit",12.24
"Club Soda","Zaison",11.11
"Applebee's","Naked Pig Pale Ale",8.01
"County Line Pub","Americana Cheeseburger",13.95
"Off Broadway","Factory Burger",12.95
"Jekyll & Hydes","Warm Crab and Artichoke Dip",11.95
"Club Paragon","Fairweather IPA",7.99
"Cork Town Tavern","Salamander Slam",4.7
"Wellhead Restaurant-Brew Pub","2-Liter Soda",4.95
"Kroc's","Kiwi-Melon Limonata",3.95
"Daddy's","ToGo Our Famous House Salad",6.95
"Downtown Lounge","Roasted Pear and Blue Cheese Flatbread",6.95
"Shanahan's Lafayette","Lemon Cream Cake",6.95
"Toc Bar","Tropical Heatwave",10.58
"Gold Hawk","Chicken Parmesan Sandwich",13.95
"Tweed's Pub Restaurant","Crispy Shrimp Sandwich",14.5
"Buffalo Wild Wings","Mothman Black IPA",2.29
"Chris Cocallas","Frosted Fields Winter Wheat",10.52
"Modoggies Bar & Grill","Boy King",7.9
"Savannah Wine Shop","Teriyaki Chicken",16.95
"Café Rouge","Hurricane Amber Ale",6.17
"Spot On The Alley","Americana Cheeseburger",13.95
"Daddy's","Polar Pale Ale",8.01
"On the Border Mexican Grill & Cantina","Parmesan Zucchini Bites",6.95
"Henrietta Hudson","Oberon",1.37
"Sizzler","Eggplant Parmesan",14.95
"For Pete's Sake","River Runners Pale Ale",1.06
"Ad Card Promotions","BrewFarm Select Golden Lager",5.13
"Niko's Lodge Bar & Grill","Veggie Melt",12.95
"Perkins Restaurant and Bakery","Insert Hop Reference",4.01
"Dejavu Nightclub","Tropical Heatwave",10.58
"Arlene's","Four Peaks Peach Ale",12.62
"Charlie Brown's Steakhouse","2-Liter Soda",4.95
"The Old Spaghetti Factory","Fruit Juices",2.95
"Bennigan's","Mutiny IPA",2.84
"Ad Card Promotions","Boy King",7.9
"Stanhope House","Herb-Grilled Salmon",11.95
"Gay Nineties Theatre Cafe","Lasagna Dip",7.95
"J R's Last Laugh Comedy Club","Braised Beef Bolognese",11.95
"Bennigan's","Quesadilla",9.95
"Henrietta Hudson","Boohai Red Ale",4.44
"Iron Post","Suncaster Summer Wheat",4.1
"Scooters","Boohai Red Ale",4.44
"Bottle & Cork","Cappuccino",4.95
"Bahama Breeze","Wood Chipper India Pale Ale",2.29
"Club Soda","Five Cheese Ziti al Forno",11.95
"War Room","Pilot Rock Porter",11.26
"Baja Fresh","Saison Pamplemousse",3.79
"Bertucci's","Five Cheese Marinara with Choice of Pasta",5.95
"Atomic Cantina","Bent Paddle Black Ale",2.43
"Caledonia Lounge","Jamaican Black Pepper Chicken",17.95
"Lone Star Athletic Football Club","Crispy Crab Bites",7.95
"Arena","Cannoli Trio",5.95
"Union Street Station","Stone's Throw IPA",4.1
"Bluepoint Sage Cafe","California Sunshine Rye IPA",9.56
"Heart Attack Grill","Polar Pale Ale",8.01
"Ground Round","Great River Golden Ale",2.17
"Hurricane Alley","Jamaican Black Pepper Chicken",17.95
"Gold Hawk","Shrimp Scampi",11.95
"Town & Country","Lavazza Espresso",3.95
"Black Angus Steakhouse","Thai Glazed Salmon",19.95
"Jack's Place","Hurricane Amber Ale",6.17
"Wolfs Tavern","Unlimited Our Famous House Salad",6.95
"Johnny Rockets","Steel Rail Extra Pale Ale",8.63
"Houlihan's","Loki Red Ale",12.56
"Carrabba's Italian Grill","Independence Pass Ale",3.36
"The Cheesecake Factory","Hyzer Flip",8.81
"Phebe's","Terlingua Gold",9.67
"Chiquito","Steak Diane",19.95
"IHOP","Kids Rotini with Meat Sauce",5.95
"Black Angus Steakhouse","Dolores River ESB",6.69
"Karma Lounge Ltd","Renee's Special",12.5
"Kroc's","Old Fashioned Burger",11.95
"Jovan's Lounge Ltd","Bikini Beer",9.16
"J D Bar Corp","Fish Tacos",14.95
"Caledonia Lounge","Firecracker Salmon",12.95
"Quaker Steak & Lube","Shrimp Scampi",11.95
"Milo's Sports Tavern","1327 Pod's ESB",12.43
"Jungle Restaurant-Fat Cat's","Chicken Margherita",11.95
"Bubba Gump Shrimp Company","Pile O'Dirt Porter",1.84
"Dillinger's Inc","Cuban Sandwich",13.95
"Tradesman Tavern Inc","Herb-Grilled Salmon",11.95
"Topper","Salmon Piccata",11.95
"Smitty's Sports Pub","Fairweather IPA",7.99
"Dillinger's Inc","3 Picket Porter",3.9
"IHOP","Sausage and Ricotta Flatbread",6.95
"Shank's Tavern","Shrimp and Chicken Gumbo",17.95
"Steak 'n Shake","Fresh Kale Salad",6.95
"Basement","Dolcini",2.95
"Ad Card Promotions","Coq D'Or",3.1
"Downtown Lounge","The Citizen",7.22
"Bob Evans Restaurants","Amber Road",12.56
"Tryst Lounge","Big Blue Van",3.07
"Crystal Corner Bar","Lucky Dog",6.15
"Dave & Buster's","Tropical Saison",7.79
"Jovan's Lounge Ltd","Alfredo Sauce with Choice of Pasta",5.95
"Club Soda","Fish & Chips",17.5
"Old Capitol Brew Works","Extra Breadsticks!",3.95
"Shanahan's Lafayette","Chicken Enchiladas",14.95
"Daddy's","Five Cheese Marinara with Choice of Pasta",5.95
"Hotshots Sports Bar & Grill","Grilled Steak Tacos",15.95
"Famous Dave's","Monkey Chased the Weasel",7.91
"Lanigan's Irish Pub & Eatery","Kids Rotini with Meat Sauce",5.95
"Heart Attack Grill","Teriyaki Chicken",16.95
"Old Capitol Brew Works","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Cork Town Tavern","Crabcakes",13.95
"Monopole Restaurant","Athena",1.28
"Black Angus Steakhouse","Caldera Pale Ale",2.64
"Rascal's","Dolcini (mini dessert)",2.95
"Ad Card Promotions","Spinach-Artichoke Dip",8.95
"Hilltop Tavern","River Runners Pale Ale",1.06
"Brandy's","Golden Road Hefeweizen",6.64
"New Orleans Original Daiquiris","Bravo Four Point",10.53
"For Pete's Sake","Old Fashioned Burger",11.95
"Met Lounge","Monon Wheat",8.88
"Tweed's Pub Restaurant","Create A Sampler Italiano",9.95
"Boston Pizza","Oktoberfest",12.45
"War Room","Guacamole Made-to-Order",11.95
"Karma Lounge Ltd","Cannoli Trio",5.95
"Stingers Sports Pub & Grill","Crispy Chicken Costoletta",17.95
"California Pizza Kitchen","Little House Salad",4.95
"Round-Up Saloon","Sweet Corn Tamale Cakes",10.95
"Kainoa's Sports Bar & Restrnt","Horny Toad Cerveza",9.76
"Applebee's","The Club",13.95
"California Pizza Kitchen","Chicken & Biscuits",17.95
"Twin Peeks","Nut Sack Imperial Brown Ale",7.23
"Wolfs Tavern","Jack Pine Savage",6.41
"Benihana","Grilled Pork Chop",19.95
"Crystal Corner Bar","Black Iron India Pale Ale",7.27
"Off Broadway","Salamander Slam",4.7
"Stingers Sports Pub & Grill","Salmon Piccata",11.95
"Comedy Cellar","Salamander Slam",4.7
"Qdoba Mexican Grill","Frozen Cappuccino",4.95
"Cheddar's Casual Café","Firecracker Salmon",12.95
"Chili's","Alfredo Sauce with Choice of Pasta",5.95
"Qdoba Mexican Grill","Nut Sack Imperial Brown Ale",7.23
"Modoggies Bar & Grill","1327 Pod's ESB",2.16
"Henrietta Hudson","2-Liter Soda",4.95
"The Cheesecake Factory","Chicken Pot Stickers",10.95
"Ruby Tuesday","Zeppoli",6.95
"Cracker Barrel Old Country Store","Buffalo Blasts",11.95
"Toc Bar","Seafood Alfredo",11.95
"California Pizza Kitchen","Damnesia",7.98
"Station","Herb-Grilled Salmon",11.95
"Twin Peeks","Pizza",5.95
"New York Dolls","Kids Rotini with Marinara",5.95
"Dave & Buster's","Kiwi-Melon Limonata",3.95
"Schileens Pub","Angry Orchard Apple Ginger",11.7
"Gay Nineties Theatre Cafe","White Chicken Chili",13.95
"Stingers Sports Pub & Grill","Capital Gold Golden Lager",7.43
"Waffle House","Angry Orchard Apple Ginger",11.7
"Karma Lounge Ltd","Herbal, and Flavored Hot Teas",2.95
"Bluepoint Sage Cafe","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Downtown Lounge","Pizza",5.95
"New Orleans Original Daiquiris","Pile O'Dirt Porter",1.84
"Met Lounge","Smores Layer Cake",6.95
"Lanigan's Irish Pub & Eatery","San Pellegrino Sparkling",2.95
"Carrabba's Italian Grill","Acidulated Trip",12.88
"Pivots Beach Club","Chicken Margherita",11.95
"California Pizza Kitchen","Chicken Parmesan Sandwich",13.95
"Atkins Park Tavern","Beets With Goat Cheese",6.95
"Texas Roadhouse","Fascist Pig Ale",11.3
"Planet Hollywood","Star Runner",6.56
"Topper","Trigger Blonde Ale",3.65
