bar,item,price
"Sutliff Bar & Grill","Copperhead Amber",5.15
"Outback Steakhouse","Ginja Ninja",7.69
"Pizza Shoppe","Raincloud Robust Porter",7.26
"Pivots Beach Club","Chicken Bellagio",15.95
"Chris Cocallas","Crispy Fried Cheese",5.95
"Smitty's Sports Pub","Samuel Adams Summer Ale",1.91
"Atomic Cantina","Buffalo Blasts",11.95
"Famous Dave's","Quick Wit Belgianesque Ale",6.57
"Bubba Gump Shrimp Company","Crispy Chicken Costoletta",17.95
"Old Country Buffet","6 oz Sirloin with Fettuccine Alfredo",11.95
"Worldwide Wine Services","Fire-Roasted Fresh Artichoke",11.5
"Red Robin","Lucky Buck",7.95
"Gold Hawk","Family-Style Lasagna Bundle",6.95
"Off Broadway","Chicken Giardino",11.95
"Saturn","Fisherman's Brew",5.52
"Black Angus Steakhouse","Dipping Sauces includes 4 Breadsticks",3.95
"Heart Attack Grill","Solitude",10.0
"Crazy Donkey Bar Grill","Seasonal Sicilian Cheesecake",6.95
"Hotshots Sports Bar & Grill","Kilt Dropper Scotch Ale",7.45
"Pub 13","Chicken Carbonara",11.95
"New West","Jalapeno Pale Ale",11.22
"Tony Roma's","Watermelon Ale",10.54
"BJ's Restaurant & Brewery","312 Urban Wheat Ale",1.36
"Station","Lost Sailor IPA",4.54
"Stanhope House","Meat Sauce with Choice of Pasta",5.95
"Smitty's Sports Pub","El Hefe Speaks",7.17
"Mulligan's Pub","Dip Duo",1.95
"Modoggies Bar & Grill","Unlimited Our Famous House Salad",6.95
"Tweed's Pub Restaurant","Vertex IPA",3.87
"Barrister S Euro Tavern;","Fearless Scottish Ale",10.11
"Apple Inn","Classic Burger",12.95
"Uno Chicago Grill","Bacon-Bacon Cheeseburger",13.95
"Savannah Wine Shop","Herb-Grilled Salmon",11.95
"Schileens Pub","Baja Chicken Tacos",13.95
"Ruby Tuesday","Brotherhood Steam",11.43
"Apple Inn","Burning Bush Smoked IPA",6.14
"Comedy Cellar","California Cheesesteak",13.95
"Park Tavern Lounge & Lanes","ToGo Homemade Soups",5.95
"Quaker Steak & Lube","Caldera IPA",7.55
"Arlene's","Miso Salmon",19.95
"Bennigan's","6 oz Sirloin with Fettuccine Alfredo",11.95
"Mugshots Bar","Field 41 Pale Ale",8.08
"Bennigan's","Lasagna Classico",11.95
"Daddy-O's","White Chicken Chili",13.95
"Old Country Buffet","Create A Sampler Italiano",9.95
"Golden Corral","Guacamole Made-to-Order",11.95
"County Line Pub","Dynamite Shrimp",7.5
"New West","Bozone Hefe Weizen",10.18
"Benihana","Awry Rye Pale Ale",2.59
"Houlihan's","Fettuccine Alfredo",11.95
"Scooters","The 26th",11.12
"40 Watt Club","312 Urban Pale Ale",11.38
"Red Robin","Cheese Ravioli",11.95
"Lanigan's Irish Pub & Eatery","Dead Armadillo Amber Ale",12.83
"Charlie Brown's Steakhouse","Chicken Fingers, and Pasta",5.95
"Tryst Lounge","Rye Porter",3.66
"P. F. Chang's China Bistro","Strawberry-Passion Fruit Limonata",3.95
"Mulligan's Pub","MCA",5.05
"Brandy's","Good People Pale Ale",7.69
"For Pete's Sake","Psychopomp",1.85
"Shanahan's Lafayette","Powder Hound Winter Ale",3.41
"Buffalo Wild Wings","Tree Bucket",11.58
"Friendly's","Crabcakes",13.95
"Sutliff Bar & Grill","Miso Salmon",19.95
"New West","Arjuna",7.79
"Chris Cocallas","California Cheesesteak",13.95
"Linda's","Spicy Shrimp Scampi Fritta",9.95
"Planet Hollywood","Fish & Chips",17.5
"Ad Card Promotions","Great Crescent IPA",3.84
"Jonathan's Restaurant","Chicken Margherita",11.95
"Maria C. Estabil","Loaded Pasta Chips",6.95
"Sportsman","Buffalo Blasts",11.95
"Ground Round","The Club",13.95
"Crazy Donkey Bar Grill","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Bluepoint Sage Cafe","Vanilla Java Porter",9.94
"Apple Inn","Stuffed Mushrooms",7.95
"Perkins Restaurant and Bakery","Chicken & Biscuits",17.95
"Milo's Sports Tavern","Seafood Alfredo",11.95
"Club Paragon","Perzik Saison",5.61
"Tweed's Pub Restaurant","Rye Porter",3.66
"Houlihan's","Iced Coffees",3.95
"Ruby Tuesday","Meat Sauce with Choice of Pasta",5.95
"Park Tavern Lounge & Lanes","Baja Chicken Tacos",13.95
"New West","Macaroni and Cheese",5.95
"Downtown Lounge","BBQ Chicken Pizza",13.95
"Jekyll & Hydes","Five Cheese Marinara with Choice of Pasta",5.95
"Saturn","Gyptoberfest",10.4
"Kesler Sports Bar & Grill","Hopportunity Knocks IPA",11.83
"Wolfs Tavern","Mirror Pond Pale Ale",4.19
"Carrabba's Italian Grill","Southern Drawl Pale Lager",10.02
"Worldwide Wine Services","Endive Salad",6.95
"Jack's Place","Wolfman's Berliner",5.63
"Boston Market","Churchkey Pilsner Style Beer",12.19
"P. F. Chang's China Bistro","Rye Pils Session Lager",9.0
"Big Shots Sports Bar & Grill","Fried Zucchini",5.95
"Caledonia Lounge","Single Engine Red",2.94
"The Old Spaghetti Factory","Quesadilla",9.95
"Jake's Grill","Rhode Island Blueberry",6.08
"Atkins Park Tavern","Wandering Pelican",5.73
"Pub 13","Five Cheese Marinara with Choice of Pasta",5.95
"Atomic Cantina","Chicken Bellagio",15.95
"Lanigan's Irish Pub & Eatery","Hopkick Dropkick",1.78
"Black Angus Steakhouse","Sweet Corn Tamale Cakes",10.95
"Robert","Divided Sky",6.07
"Club 101","Sudice American Stout",10.97
"Pei Wei Asian Diner","Seasonal Sicilian Cheesecake",6.95
"Border Lounge","Little Boss",1.51
"Union Street Station","Devils Tramping Ground Tripel",2.96
"Old Country Buffet","Quesadilla with Chicken",11.95
"Lone Star Steakhouse & Saloon","Little Sister India Style Session Ale",7.39
"Sheffield Wine & Spirits Center","Bellini Peach-Raspberry Iced Tea",2.95
"Swamp Sports Bar & Restaurant","Unlimited Our Famous House Salad",6.95
"Chris Cocallas","Herbal, and Flavored Hot Teas",2.95
"Swamp Sports Bar & Restaurant","Point the Way IPA",7.68
"Jake's Grill","Raspberry Lemonade",2.95
"Señor Frog's","Batch 69 IPA",10.44
"War Room","Beets With Goat Cheese",6.95
"Off Broadway","2-Liter Soda",4.95
"Heart Attack Grill","6 oz Sirloin with Fettuccine Alfredo",11.95
"Bennigan's","Lavazza Espresso",3.95
"Union Street Station","Arkansas Red",9.88
"Red Lobster","Dry Dock Amber Ale",11.48
"Dave & Buster's","Jalapeno Pale Ale",11.22
"Fire Bar & Grill","Rye Porter",3.66
"MJ's","Sundae",1.95
"Rocket","Whitsun",4.4
"Boston Pizza","Crispy Cuban Rolls",6.95
"E Robert Brame","Americana Cheeseburger",13.95
"Boston Pizza","Double Brown Stout",11.11
"Cheese Burger in Paradise","Hardcore Chimera",6.75
"Jekyll & Hydes","The Citizen",6.4
"Crystal Corner Bar","Bang-Bang Chicken and Shrimp",19.5
"For Pete's Sake","Crabcakes",13.95
"Planet Hollywood","Renee's Special",12.5
"Caledonia Lounge","Mirror Pond Pale Ale",4.19
"Perkins Restaurant and Bakery","Buffalo Blasts",11.95
"Jack's Place","Jamaican Black Pepper Shrimp",19.95
"Tradesman Tavern Inc","Kaleidoscope Collaboration 2012",6.52
"Big Boy","Crispy Crab Bites",7.95
"County Line Pub","Bring Back the Beach Blonde Ale",7.06
"Brandy's","Steak Diane",19.95
"Heart Attack Grill","Beasts A'Burnin'",7.88
"Hooters","Tiramisu",6.95
"Dixie Taverne","Solitude",10.0
"Sizzler","Buffalo Blasts",11.95
"For Pete's Sake","Tart Side of the Moon",10.91
"New West","Chicken Margherita",11.95
"Dave & Buster's","Hopkick Dropkick",1.78
"Fire Bar & Grill","Stuffed Chicken Marsala",11.95
"Crystal Corner Bar","Fort Pitt Ale",5.22
"Border Lounge","Gutch English Style Mild Ale",12.78
"Applebee's","Chicken Carbonara",11.95
"Rainforest Cafe","Spicy Crispy Chicken Sandwich",13.5
"Firefly Club","Core Oatmeal Stout",7.03
"Chiquito","Parmesan-Garlic Cheese Bread",8.95
"On the Border Mexican Grill & Cantina","Shepherd's Pie",15.95
"Bubba Gump Shrimp Company","Southern Fried Chicken Sliders",10.95
"Joe's Crab Shack","Spicy Cashew Chicken",16.95
"Scooters","Strawberry-Passion Fruit Limonata",3.95
"Ten","South Ridge Amber Ale",7.83
"Planet Hollywood","Herbal, and Flavored Hot Teas",2.95
"Spot On The Alley","Pilot Rock Porter",7.46
"Romano's Macaroni Grill","Fall Hornin'",9.86
"Sheffield Wine & Spirits Center","Shepherd's Pie",15.95
"Scores","Underachiever",9.43
"Bubba Gump Shrimp Company","Bikini Beer",5.47
"Jonathan's Restaurant","Bacon-Bacon Cheeseburger",13.95
"Crystal Corner Bar","West Portal Colorado Common Summer Ale",3.43
"Smitty's Sports Pub","Mirror Pond Pale Ale",4.19
"J R's Bar & Grill Inc","Category 3 IPA",8.38
"Sheffield Wine & Spirits Center","Fried Shrimp Platter",17.95
"Friendly's","Factory Nachos",12.5
"Chiquito","Arjuna",7.79
"Heart Attack Grill","ToGo Our Famous House Salad",6.95
"Quaker Steak & Lube","2-Liter Soda",4.95
"Friendly's","Divided Sky",6.07
"Hooters","Passion Fruit Prussia",12.33
"For Pete's Sake","Dundee Summer Wheat Beer",7.02
"Waffle House","Crispy Crab Bites",7.95
"Basement","Rod Bender Red",9.83
"Niko's Lodge Bar & Grill","Chicken & Biscuits",17.95
"Jonathan's Restaurant","Fearless Scottish Ale",10.11
"Savannah Wine Shop","Little House Salad",4.95
"Iron Post","Category 3 IPA",8.38
"Black Angus Steakhouse","Dolcini",2.95
"Brandy's","Lasagna Dip",7.95
"Atomic Cantina","Lasagna Fritta",8.95
"Jovan's Lounge Ltd","Herb-Grilled Salmon",11.95
"Star Tavern & Pizzeria","Hopportunity Knocks IPA",11.83
"Chili's","American Red Porter",9.46
"Twin Peeks","Parmesan-Herb Crusted Chicken",17.5
"Niko's Lodge Bar & Grill","Shrimp Alfredo",11.95
"Opus Mainstreet","Warm Crab and Artichoke Dip",11.95
"Rainforest Cafe","Santa's Secret",1.07
"Monopole Restaurant","Arjuna",7.79
"Old Country Buffet","Angry Orchard Crisp Apple",10.72
"MJ's","Vietnamese Shrimp Summer Rolls",11.95
"Sutliff Bar & Grill","Warm Crab and Artichoke Dip",11.95
"Hard Rock Cafe","Chicken Salad Sandwich",12.5
"Uno Chicago Grill","Kids Rotini with Meat Sauce",5.95
"Red Barn","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Double Olive Lounge","Hop Stalker Fresh Hop IPA",6.61
"Karma Lounge Ltd","Vertex IPA",3.87
"Caledonia Lounge","Orange Chicken",16.95
"The Osthelder Saloon","Parmesan Zucchini Bites",6.95
"Phebe's","Acqua Panna Spring",2.95
"C C Slaughters Restaurant","Vanilla Java Porter",9.94
"Eight Seconds","Old Detroit",5.59
"Monopole Restaurant","Strawberry Blonde",2.14
"Friendly's","Moose Drool Brown Ale",1.26
"Bubba Gump Shrimp Company","Lemon Cream Cake",6.95
"Pivots Beach Club","Fried Calamari",12.95
"Chipotle Mexican Grill","ToGo Our Famous House Salad",6.95
"Opus Mainstreet","Oatmeal PSA",6.91
"Shank's Tavern","Chicken and Shrimp Carbonara",11.95
"Karma Lounge Ltd","Southern Drawl Pale Lager",10.02
"Pei Wei Asian Diner","Thrasher Session India Pale Ale",9.71
"Brandy's","Stuffed Mushrooms",7.95
"Double Olive Lounge","Farmer Ted's Farmhouse Cream Ale",10.22
"Downtown Lounge","Rye Pils Session Lager",9.0
"Double Olive Lounge","Margherita Pizza",12.95
"Sutliff Bar & Grill","Santa's Secret",1.07
"Bottle & Cork","Crispy Shrimp Sandwich",14.5
"Don & Herb's Inc","Beasts A'Burnin'",7.88
"Union Street Station","Chicken Parmigiana",11.95
"Crowe Bar","Chicken Fingers, and Pasta",5.95
"YUMIS SUSHI BAR","Wrath of Pele",8.87
"Heart Attack Grill","Sundae",1.95
"Sheffield Wine & Spirits Center","Sweet Corn Tamale Cakes",10.95
"Dick's Last Resort","Beaver Logger",1.84
"Hurricane Alley","Vivant Tripel",5.66
"Pub 13","Veggie Burger",12.95
"Perkins Restaurant and Bakery","Quesadilla with Chicken",11.95
"Lone Star Athletic Football Club","Smokehouse BBQ Burger",13.95
"Double Down Saloon","Heinnieweisse Weissebier",8.9
"Station","Yo Soy Un Berliner",6.52
"Charlie Brown's Steakhouse","Arkansas Red",9.88
"Café Rouge","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Town & Country","South Ridge Amber Ale",7.83
"Johnny Mac's Scoreboard","Chicken Parmesan Sandwich",13.95
"Outback Steakhouse","Roller Dam Red Ale",2.23
"Tony Roma's","Jamaican Black Pepper chicken and Shrimp",19.95
"Johnny Rockets","Cannoli Trio",5.95
"Hard Rock Cafe","Caffè Mocha",4.95
"Red Lobster","Old Fashioned Burger",11.95
"Caledonia Lounge","Roasted Pear and Blue Cheese Flatbread",6.95
"Ruby Tuesday","Steak Diane",19.95
"Dillinger's Inc","White Zombie Ale",10.71
"J D Bar Corp","Warm Apple Crostata",6.95
"Niko's Lodge Bar & Grill","Southern Drawl Pale Lager",10.02
"Off Broadway","Hop Stalker Fresh Hop IPA",6.61
"Wellhead Restaurant-Brew Pub","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Famous Dave's","Buffalo Blasts",11.95
"Benihana","Clean Shave IPA",4.21
"Twin Peeks","Chicken Enchiladas",14.95
"YUMIS SUSHI BAR","Divided Sky",6.07
"California Pizza Kitchen","Powder Hound Winter Ale",3.41
"Robert","ToGo Soup, Salad, and Breadsticks Combo",9.95
"Romano's Macaroni Grill","Factory Burrito Grande",14.95
"Sportsman","Heavy Lifting",12.2
"Modoggies Bar & Grill","Thai Lettuce Wraps",13.95
"Denny's","Shark Tracker Light lager",7.58
"Dillinger's Inc","Miso Salmon",19.95
"Johnny Rockets","Black Tie Mousse Cake",6.95
"Stanhope House","Parmesan-Herb Crusted Chicken",17.5
"Twin Peeks","Pothole Stout",12.58
"Topper","Moe Lasses'",10.08
"Double Down Saloon","Portabella, Avocado, and Zucchini Fries",6.95
"Brandy's","Crispy Fried Cheese",5.95
"Crystal Corner Bar","Cajun Chicken 'Littles'",15.5
"Old Country Buffet","Gutch English Style Mild Ale",12.78
"Romano's Macaroni Grill","Braised Beef and Tortelloni",11.95
"Lanigan's Irish Pub & Eatery","Perzik Saison",5.61
"Pizza Shoppe","Chicken Piccata",17.95
"Dillinger's Inc","West Portal Colorado Common Summer Ale",3.43
"Comedy Cellar","Thrasher Session India Pale Ale",9.71
"Jonathan's Restaurant","Big Elm IPA",8.9
"D & J Web Solutions","Dead Armadillo Amber Ale",12.83
"Topper","Arkansas Red",9.88
"Gay Nineties Theatre Cafe","312 Urban Pale Ale",11.38
"Bob Evans Restaurants","Create Your Own Pasta - Cucina Mia!",9.95
"Daddy-O's","Baja Chicken Tacos",13.95
"Old Capitol Brew Works","Dip Duo",1.95
"Denny's","The Everything Pizza",14.5
"Rainforest Cafe","312 Urban Pale Ale",11.38
"J D Bar Corp","Spicy Shrimp Scampi Fritta",9.95
"Boston Pizza","Good People Pale Ale",7.69
"Champions Sports Bar","Crispy Cuban Rolls",6.95
"Jovan's Lounge Ltd","Fall Hornin'",9.86
"40 Watt Club","ToGo Our Famous House Salad",6.95
"Double Down Saloon","Chicken Parmigiana",11.95
"For Pete's Sake","Margherita Pizza",12.95
"New York Dolls","Lasagna Classico",11.95
"Rocket","Bent Paddle Black Ale",8.22
"D & J Web Solutions","Quesadilla with Chicken",11.95
"Big Shots Sports Bar & Grill","Chugach Session Ale",9.77
"Black-eyed Pea","Lasagna Dip",7.95
"Kells Restaurant","Jade",7.81
"Buffalo Wild Wings","6 oz Sirloin with Fettuccine Alfredo",11.95
"BJ's Restaurant & Brewery","Stuffed Chicken Tortillas",14.95
"Paradise City","Yo Soy Un Berliner",6.52
"Jake's Grill","Quesadilla",9.95
"Scooters","Chicken Samosas",6.95
"Pub 13","Plow Horse Belgian Style Imperial Stout",5.61
"Atkins Park Tavern","Noche Dulce",2.7
"Crystal Corner Bar","Whitsun",4.4
"Milo's Sports Tavern","Green Collar",11.93
"Improper Bostonian","Great Crescent Belgian Style Wit",8.17
"Bennigan's","Old Detroit",5.59
"Round-Up Saloon","Chicken Bellagio",15.95
"Dillinger's Inc","Strawberry-Passion Fruit Limonata",3.95
"Sizzler","Saddle Bronc Brown Ale",5.33
"Tony Roma's","Alfredo Sauce with Choice of Pasta",5.95
"Twin Peeks","Hot Coffee",2.95
"J R's Bar & Grill Inc","Tex Mex Eggrolls",10.95
"Bottle & Cork","The Gadget",9.24
"Town & Country","Braised Beef and Tortelloni",11.95
"Moms Toy Box","Samuel Adams Summer Ale",1.91
"Daddy's","Hop Stalker Fresh Hop IPA",6.61
"Off Broadway","Factory Burger",12.95
"Hilltop Tavern","Parmesan-Herb Crusted Chicken",17.5
"County Line Pub","Crispy Shrimp Sandwich",14.5
"Savannah Wine Shop","Wandering Pelican",5.73
"Mugshots Bar","Vietnamese Shrimp Summer Rolls",11.95
"Sheffield Wine & Spirits Center","ToGo Homemade Soups",5.95
"Casino El Camino Bar & Grill","Misty Mountain IPA",3.56
"Kroc's","Moose Drool Brown Ale",1.26
"Maria C. Estabil","Maduro Brown Ale",12.8
"Scooters","Great Crescent Belgian Style Wit",8.17
"Scores","Farmer Wirtz India Pale Ale",4.24
"Outback Steakhouse","Vietnamese Shrimp Summer Rolls",11.95
"Dillinger's Inc","Southwest Chicken Sandwich",13.5
"Smokey Bones","Polar Pale Ale",3.1
"Bennigan's","Hardcore Chimera",6.75
"Maria C. Estabil","Mushroom Burger",13.95
"Casino El Camino Bar & Grill","Hardcore Chimera",6.75
"Boston Market","Chicken Marsala and Mushrooms",18.5
"Crowe Bar","Psychopomp",1.85
"Park Tavern Lounge & Lanes","Warm Apple Crostata",6.95
"E Robert Brame","Terrace Hill Double IPA",4.33
"Cheese Burger in Paradise","Rye Pils Session Lager",9.0
"Robert","Clean Shave IPA",4.21
"Dick's Last Resort","Frozen Cappuccino",4.95
"Jack's Place","1492",11.68
"For Pete's Sake","Polar Pale Ale",3.1
"Moms Toy Box","Chocolate Chunkin Pumpkin Cheesecake",6.95
"Chris Cocallas","Frozen Cappuccino",4.95
"Jack's Place","Oatmeal PSA",6.91
"The Osthelder Saloon","Spicy Shrimp Scampi Fritta",9.95
"Mulligan's Pub","Thai Glazed Salmon",19.95
"Atomic Cantina","East India Pale Ale",12.32
"Jrbc","Copperhead Amber",5.15
"Olive Garden","Core Oatmeal Stout",7.03
"Stonebridge Village Poa","Ravioli di Portobello",11.95
"YUMIS SUSHI BAR","Blueberry Limonata",3.95
"Sugarbush Tavern","Ginja Ninja",7.69
"Casino El Camino Bar & Grill","Stuffed Chicken Marsala",11.95
"Sheffield Wine & Spirits Center","Baja Chicken Tacos",13.95
"Bob Evans Restaurants","Salmon Piccata",11.95
"Jake's Grill","Dry Hard Apple Cider",9.74
"Carrabba's Italian Grill","Herbal, and Flavored Hot Teas",2.95
"Baja Fresh","Fruit Juices",2.95
"Black Angus Steakhouse","Whitsun",4.4
"County Line Pub","Big Elm IPA",8.9
"Bluepoint Sage Cafe","Fall Hornin'",9.86
"LongHorn Steakhouse","Spinach-Artichoke Dip",8.95
"Hoss's Steak and Sea House","Italian Ice Milkshake",4.95
"Baja Fresh","Parmesan-Herb Crusted Chicken",17.5
"Rumors Lounge & Restaurant","Twisted Helles Summer Lager",12.74
"Joe's Crab Shack","Old Detroit",5.59
"Station","Terrace Hill Double IPA",4.33
"Ten","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Shanahan's Lafayette","Sex and Candy",8.28
"New Orleans Original Daiquiris","Cheese Pizza",11.95
"Wibs","Country Boy IPA",7.59
"Boynton Restaurant & Spirits","Hopkick Dropkick",1.78
"Lone Star Steakhouse & Saloon","Tiramisu",6.95
"Apple Inn","Buffalo Wings",12.5
"County Line Pub","Macaroni and Cheese Burger",13.95
"Station","Beets With Goat Cheese",6.95
"Old Capitol Brew Works","Tomato Sauce with Choice of Pasta",5.95
"Hurricane Alley","Noche Dulce",2.7
"Station","The 26th",11.12
"Town & Country","Jade",7.81
"Xtc Cabaret","Southwest Chicken Sandwich",13.5
"Lone Star Steakhouse & Saloon","Smokehouse BBQ Burger",13.95
"Kainoa's Sports Bar & Restrnt","Smores Layer Cake",6.95
"Big Shots Sports Bar & Grill","Rye Porter",3.66
"40 Watt Club","Seiche Scottish Ale",6.83
"Ivar's Sports Bar & Grill","Behemoth",12.89
"Hooters","Trigger Blonde Ale",12.45
"Xtc Cabaret","Five Italian Cheese Fonduta",7.95
"P. F. Chang's China Bistro","Kaleidoscope Collaboration 2012",6.52
"Fire Bar & Grill","The Everything Pizza",14.5
"40 Watt Club","Dolcini (mini dessert)",2.95
"Bahama Breeze","El Hefe Speaks",7.17
"Phebe's","Old Detroit",5.59
"Chris Cocallas","Dubbelicious",11.48
"Gay Nineties Theatre Cafe","Quesadilla with Chicken",11.95
"Pub 13","General George Patton Pilsner",8.63
"Tradesman Tavern Inc","Factory Nachos",12.5
"Applebee's","Southwest Chicken Sandwich",13.5
"YUMIS SUSHI BAR","Terrace Hill Double IPA",4.33
"Chipotle Mexican Grill","Sweet Corn Tamale Cakes",10.95
"Outback Steakhouse","Chicken & Biscuits",17.95
"Boynton Restaurant & Spirits","Chicken Salad Sandwich",12.5
"N V Penthouse Lounge","312 Urban Wheat Ale",1.36
"Toc Bar","Saddle Bronc Brown Ale",5.33
"Smokey Bones","Fish Tacos",14.95
"Johnny Rockets","Create A Sampler Italiano",9.95
"Boynton Restaurant & Spirits","Buffalo Wings",12.5
"Waffle House","Passion Fruit Prussia",12.33
"Outback Steakhouse","312 Urban Wheat Ale",8.55
"Benihana","Five Cheese Marinara with Choice of Pasta",5.95
"Jungle Restaurant-Fat Cat's","Tart Side of the Moon",10.91
"For Pete's Sake","Old Detroit",5.59
"Chipotle Mexican Grill","Little Boss",1.51
"T.G.I. Friday's","Spicy Calabrian Chicken",8.95
"Club Soda","Thai Lettuce Wraps",13.95
"New Orleans Original Daiquiris","Renee's Special",12.5
"Moms Toy Box","Little House Salad",4.95
"Club 101","American Red Porter",9.46
"Star Tavern & Pizzeria","Spinach-Artichoke Dip",8.95
"P. F. Chang's China Bistro","Warm Crab and Artichoke Dip",11.95
"Dick's Last Resort","Steak Diane",19.95
"Kainoa's Sports Bar & Restrnt","Strawberry-Passion Fruit Limonata",3.95
"Topper","Crispy Crab Bites",7.95
"California Pizza Kitchen","Margherita Pizza",12.95
"Cracker Barrel Old Country Store","Terrace Hill Double IPA",4.33
"Hilltop Tavern","Quesadilla",9.95
"Apple Inn","Maduro Brown Ale",12.8
"Red Barn","Buffalo Wings",12.5
"Planet Hollywood","Shark Tracker Light lager",7.58
"Iron Post","Crabcakes",13.95
"Double Olive Lounge","Kilt Dropper Scotch Ale",7.45
"Sinners Gentlemen's Club","Crispy Crab Wontons",11.95
"C C Slaughters Restaurant","Five Italian Cheese Fonduta",7.95
"Red Barn","Chicken and Shrimp Carbonara",11.95
"Jack's Place","East India Pale Ale",12.32
"Pub 13","Arjuna",7.79
"Black-eyed Pea","Beaver Logger",1.84
"Hard Rock Cafe","Macaroni and Cheese",5.95
"Red Barn","Kobe Burger",14.95
"Niko's Lodge Bar & Grill","The Gadget",9.24
"Hotshots Sports Bar & Grill","Fresh Basil, Tomato, and Cheese Flatbread",6.95
"Bahama Breeze","Blonde Czich",3.37
"Swamp Sports Bar & Restaurant","Hopportunity Knocks IPA",11.83
"Barrister S Euro Tavern;","Fresh Kale Salad",6.95
"Sheffield Wine & Spirits Center","Dundee Summer Wheat Beer",7.02
"Wibs","Spicy Crispy Chicken Sandwich",13.5
"Stanhope House","Grilled Pork Chop",19.95
"Modoggies Bar & Grill","Suncaster Summer Wheat",6.03
"Cork Town Tavern","Pizza",5.95
"Red Barn","Rye Porter",3.66
"Red Robin","Braised Beef and Tortelloni",11.95
"Hard Rock Cafe","Crispy Shrimp Sandwich",14.5
"Cork Town Tavern","Heavy Lifting",12.2
"Lanigan's Irish Pub & Eatery","Mountain Livin' Pale Ale",2.85
"Waffle House","Caldera IPA",7.55
"Arena","Dry Hard Apple Cider",9.74
"The Cheesecake Factory","Twisted Helles Summer Lager",12.74
"Chipotle Mexican Grill","Hot Spinach and Cheese Dip",11.95
"C C Slaughters Restaurant","Bikini Beer",5.47
"Uno Chicago Grill","Factory Nachos",12.5
"Champions Sports Bar","Core Oatmeal Stout",7.03
"Double Down Saloon","Fish Tacos",14.95
"Rascal's","First Press",1.18
"Ground Round","Zeppoli",6.95
"Apple Inn","Heinnieweisse Weissebier",8.9
"Double Down Saloon","Shrimp Alfredo",11.95
"Caledonia Lounge","Farmer Wirtz India Pale Ale",4.24
"Shanahan's Lafayette","Crispy Crab Bites",7.95
"World Beer Direct","Moose Drool Brown Ale",1.26
"Café Rouge","Heinnieweisse Weissebier",8.9
"Club Paragon","Underachiever",9.43
"Sheffield Wine & Spirits Center","Five Cheese Ziti al Forno",11.95
"Kainoa's Sports Bar & Restrnt","Stone's Throw IPA",1.68
"Downtown Lounge","Stuffed Chicken Marsala",11.95
"Red Barn","Crispy Cuban Rolls",6.95
"Hurricane Alley","The Grand Army",4.09
"Big Al's","Smokehouse BBQ Burger",13.95
"Chris Cocallas","Shepherd's Pie",15.95
"Jack's Place","Santa's Secret",1.07
"Saturn","Chugach Session Ale",9.77
"Sizzler","Sex and Candy",8.28
"Toc Bar","Hot Spinach and Cheese Dip",11.95
"Double Down Saloon","Spinach-Artichoke Dip",8.95
"Houlihan's","Big Star White IPA",8.94
"Boston Pizza","Noche Dulce",2.7
"Xtc Cabaret","Clean Shave IPA",4.21
"The Old Spaghetti Factory","Greenbelt Farmhouse Ale",5.52
"Paradise City","Cajun Chicken 'Littles'",15.5
"Bottle & Cork","The Lawn Ranger",3.41
"Opus Mainstreet","Chicken & Biscuits",17.95
"Firefly Club","Spicy Crispy Chicken Sandwich",13.5
"Hurricane Alley","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Bottling CO","Farmer Ted's Farmhouse Cream Ale",10.22
"Twin Peeks","543 Skull Creek Fresh Hopped Pale Ale",2.78
"Opus Mainstreet","Wandering Pelican",5.73
"Union Street Station","Fried Zucchini",5.95
"Rocket","Buffalo Wings",12.5
"Swamp Sports Bar & Restaurant","Gyptoberfest",10.4
"Maria C. Estabil","Back East Ale",6.16
"Downtown Lounge","Bacon-Bacon Cheeseburger",13.95
"Charles A. Meyer","Little House Salad",4.95
"Hurricane Alley","Brotherhood Steam",11.43
"Smokey Bones","Mountain Fairy Raspberry Wheat",11.92
"On the Border Mexican Grill & Cantina","Fried Macaroni and Cheese",11.5
"Waffle House","Dolcini (mini dessert)",2.95
"Café Rouge","Create A Sampler Italiano",9.95
"Jrbc","Chicken Giardino",11.95
"D & J Web Solutions","Morning Wood",12.16
"Olive Garden","Five Cheese Marinara with Choice of Pasta",5.95
"Uno Chicago Grill","Rules are Rules",6.13
"Sizzler","San Pellegrino Sparkling",2.95
"Jack's Place","Bikini Beer",5.47
"Bottling CO","Fried Macaroni and Cheese",11.5
"Bahama Breeze","Rye Pils Session Lager",9.0
"Wibs","Meat Sauce with Choice of Pasta",5.95
"Dolphin Inn","Hopkick Dropkick",1.78
"YUMIS SUSHI BAR","Raincloud Robust Porter",7.26
"Benihana","Frozen Cappuccino",4.95
"Ten","El Hefe Speaks",7.17
"Club Soda","Parmesan Zucchini Bites",6.95
"Cracker Barrel Old Country Store","Caffè Mocha",4.95
"Red Lobster","Chicken Pot Stickers",10.95
"Round-Up Saloon","Chargrilled Coulotte Steak",19.95
"Crazy Donkey Bar Grill","Acqua Panna Spring",2.95
